part_id,dependent_part_id,dependency_type,description
LID001,GPU001,REQUIRES,"LiDAR requires GPU for data processing"
LID001,CTR001,REQUIRES,"LiDAR requires control unit for integration"
LID002,GPU002,REQUIRES,"Advanced LiDAR requires high-end GPU"
LID002,CTR002,REQUIRES,"Advanced LiDAR requires advanced control unit"
CAM001,GPU001,REQUIRES,"Camera requires GPU for image processing"
CAM001,CTR001,REQUIRES,"Camera requires control unit for integration"
CAM002,GPU002,REQUIRES,"4K Camera requires high-end GPU"
CAM002,CTR002,REQUIRES,"4K Camera requires advanced control unit"
INF001,CTR001,REQUIRES,"IR Sensor requires control unit"
MOT001,CTR001,REQUIRES,"Drive motor requires control unit"
MOT002,CTR001,REQUIRES,"Servo motor requires control unit"
BAT001,PWR001,REQUIRES,"Battery requires power management"
BAT002,PWR001,REQUIRES,"Extended battery requires power management"
JNT001,MOT002,REQUIRES,"Joint system requires servo motor"
