part_id,part_name,part_category,criticality_level,description
LID001,LiDAR-X1,SENSOR,HIGH,"High-precision LiDAR sensor for navigation"
LID002,LiDAR-X2,SENSOR,HIGH,"Advanced LiDAR sensor with extended range"
CAM001,HD-Camera-V2,SENSOR,HIGH,"HD Camera module for visual recognition"
CAM002,4K-Camera-Pro,SENSOR,HIGH,"4K Camera module with night vision"
INF001,IR-Sensor-Pro,SENSOR,MEDIUM,"Infrared sensor for heat detection"
GPU001,GPU-RTX-A1,COMPUTING,HIGH,"GPU module for vision processing"
GPU002,GPU-RTX-A2,COMPUTING,HIGH,"Advanced GPU module for AI processing"
CTR001,Control-Unit-X,COMPUTING,HIGH,"Main control unit"
CTR002,Control-Unit-Pro,COMPUTING,HIGH,"Advanced control unit with redundancy"
MOT001,Drive-Motor-V1,MOTION,HIGH,"Primary drive motor"
MOT002,Servo-Pro-X1,MOTION,MEDIUM,"Precision servo motor"
BAT001,Battery-Pack-V1,POWER,HIGH,"Main battery unit - 8 hour runtime"
BAT002,Battery-Pack-Pro,POWER,HIGH,"Extended battery unit - 12 hour runtime"
PWR001,Power-Control-V1,POWER,MEDIUM,"Main power management unit"
CHS001,Chassis-Base,STRUCTURAL,MEDIUM,"Base chassis frame"
JNT001,Joint-System-V1,STRUCTURAL,MEDIUM,"Primary joint mechanism"
